batch_id,production_date,product_code,shift,operator_id,inspection_id,inspection_date,inspector_id,quality_score,defect_type,defect_severity,defect_count,rework_required,comments,factory_location
S1542-20240617,2024-06-17,PRD-04,afternoon,OP-0033,INSP-0018,2024-06-17 15:46:39,INS-2178,100.0,NO_DEFECT,0,0,False,No defects found. Exceptional quality.,Factory-G9
T7612-20240618,2024-06-18,PRD-03,morning,OP-4178,INSP-0019,2024-06-18 10:15:04,INS-5961,99.9,NO_DEFECT,0,0,False,Batch meets highest standards.,Factory-Y7
U6045-20240619,2024-06-19,PRD-01,afternoon,OP-0001,INSP-0020,2024-06-19 15:02:12,INS-2231,82.3,scratch,1,2,False,"Light scratch detected, no action needed.",Factory-E1
V2354-20240620,2024-06-20,PRD-02,night,OP-2186,INSP-0021,2024-06-21 03:00:59,INS-0342,49.7,misalignment,4,6,True,Severe misalignment. Batch failed.,Factory-X0
W3819-20240621,2024-06-21,PRD-03,afternoon,OP-5691,INSP-0022,2024-06-21 14:44:28,INS-2178,100.0,NO_DEFECT,0,0,False,"Outstanding batch, no defects.",Factory-A2
X6210-20240622,2024-06-22,PRD-01,morning,OP-2517,INSP-0023,2024-06-22 09:59:01,INS-9052,79.8,marking,2,1,False,"Marking noted, within tolerance.",Factory-Z3
Y9027-20240623,2024-06-23,PRD-02,afternoon,OP-0033,INSP-0024,2024-06-23 14:33:56,INS-2178,85.7,NO_DEFECT,0,0,False,Batch passed inspection.,Factory-G9
Z4172-20240624,2024-06-24,PRD-03,night,OP-0112,INSP-0025,2024-06-25 01:17:31,INS-9052,63.8,contamination,3,4,True,Batch flagged for rework due to contamination.,Factory-Y7
A8015-20240625,2024-06-25,PRD-04,morning,OP-5691,INSP-0026,2024-06-25 11:04:24,INS-2231,89.5,NO_DEFECT,0,0,False,Batch meets all required specs.,Factory-X0
B4002-20240626,2024-06-26,PRD-01,afternoon,OP-2186,INSP-0027,2024-06-26 15:57:09,INS-9052,75.3,dent,1,1,False,"Minor dent found, no further action.",Factory-E1
C0281-20240627,2024-06-27,PRD-02,night,OP-3452,INSP-0028,2024-06-28 00:27:17,INS-0342,57.9,cracking,3,9,True,Cracking detected. Full rework necessary.,Factory-A2
D7723-20240628,2024-06-28,PRD-03,morning,OP-4178,INSP-0029,2024-06-28 10:27:13,INS-5961,100.0,NO_DEFECT,0,0,False,Batch received perfect rating.,Factory-Z3
E5631-20240629,2024-06-29,PRD-04,afternoon,OP-0033,INSP-0030,2024-06-29 16:36:21,INS-2178,88.5,NO_DEFECT,0,0,False,No issues detected.,Factory-Y7
F3812-20240630,2024-06-30,PRD-01,night,OP-2517,INSP-0031,2024-07-01 02:37:55,INS-0342,0.0,major_crack,4,19,True,Complete failure. Batch rejected.,Factory-G9
G9028-20240520,2024-05-20,PRD-02,morning,OP-2186,INSP-0032,2024-05-20 09:07:01,INS-9052,97.6,NO_DEFECT,0,0,False,No defects found.,Factory-E1
H7213-20240521,2024-05-21,PRD-03,afternoon,OP-0033,INSP-0033,2024-05-21 16:12:05,INS-2178,84.1,NO_DEFECT,0,0,False,Batch meets all requirements.,Factory-X0
J8123-20240522,2024-05-22,PRD-04,night,OP-4178,INSP-0034,2024-05-23 00:45:37,INS-0342,66.5,mislabel,3,4,True,"Mislabel found, rework required.",Factory-Y7
K9134-20240523,2024-05-23,PRD-02,morning,OP-5691,INSP-0035,2024-05-23 08:31:46,INS-9052,91.7,NO_DEFECT,0,0,False,No deviations detected.,Factory-G9
L5812-20240524,2024-05-24,PRD-01,afternoon,OP-0112,INSP-0036,2024-05-24 14:10:09,INS-2178,74.9,scratch,2,2,False,"Minor scratch detected, no rework needed.",Factory-A2
M6718-20240525,2024-05-25,PRD-03,night,OP-2517,INSP-0037,2024-05-26 01:16:27,INS-0342,55.2,cracking,3,5,True,Cracking observed. Batch flagged for rework.,Factory-Z3
N1829-20240526,2024-05-26,PRD-04,morning,OP-5691,INSP-0038,2024-05-26 10:06:53,INS-2231,98.7,NO_DEFECT,0,0,False,Batch meets all standards.,Factory-Y7
O3992-20240527,2024-05-27,PRD-01,afternoon,OP-0001,INSP-0039,2024-05-27 15:35:11,INS-9052,76.1,discoloration,2,2,False,Discoloration within acceptable range.,Factory-G9
P4728-20240528,2024-05-28,PRD-02,night,OP-3452,INSP-0040,2024-05-29 02:55:43,INS-0342,45.8,misalignment,4,10,True,"Misalignment detected, batch failed.",Factory-X0
Q3291-20240529,2024-05-29,PRD-03,morning,OP-4178,INSP-0041,2024-05-29 08:30:17,INS-5961,100.0,NO_DEFECT,0,0,False,Batch scored 100. No defects.,Factory-A2
R8092-20240530,2024-05-30,PRD-01,afternoon,OP-2186,INSP-0042,2024-05-30 16:01:33,INS-9052,73.2,marking,2,2,False,"Marking found, no functional impact.",Factory-Z3
S4923-20240531,2024-05-31,PRD-02,night,OP-0033,INSP-0043,2024-06-01 00:57:28,INS-0342,40.2,cracking,4,16,True,Significant cracking. Batch must be reworked.,Factory-X0
T1809-20240515,2024-05-15,PRD-04,morning,OP-5691,INSP-0044,2024-05-15 10:18:09,INS-2231,99.2,NO_DEFECT,0,0,False,Batch meets all benchmarks.,Factory-Y7
U1203-20240101,2024-01-01,PRD-01,afternoon,OP-0001,INSP-0045,2024-01-01 14:29:15,INS-9052,100.0,NO_DEFECT,0,0,False,First batch of the year. No issues.,Factory-G9
V3812-20230228,2023-02-28,PRD-02,night,OP-2186,INSP-0046,2023-03-01 01:18:49,INS-0342,0.0,major_crack,4,20,True,Old batch. Catastrophic failure.,Factory-E1
W7281-20240503,2024-05-03,PRD-03,morning,OP-2517,INSP-0047,2024-05-03 08:46:22,INS-9052,99.6,NO_DEFECT,0,0,False,Outstanding batch.,Factory-X0
X2019-20240504,2024-05-04,PRD-04,afternoon,OP-0033,INSP-0048,2024-05-04 14:31:01,INS-2178,83.0,NO_DEFECT,0,0,False,No defects detected.,Factory-Y7
Y8129-20240505,2024-05-05,PRD-01,night,OP-4178,INSP-0049,2024-05-06 00:10:04,INS-0342,58.6,contamination,3,5,True,"Contamination identified, batch failed.",Factory-Z3
Z6213-20240506,2024-05-06,PRD-02,afternoon,OP-5691,INSP-0050,2024-05-06 15:20:38,INS-9052,89.9,NO_DEFECT,0,0,False,Batch meets all standards.,Factory-A2
A1201-20240601,2024-06-01,PRD-01,morning,OP-0033,INSP-20001,2024-06-01 09:23:00,INS-1001,99.5,NO_DEFECT,0,0,False,Batch exceeded quality benchmarks. No issues detected.,Factory-E1
B2085-20240601,2024-06-01,PRD-02,afternoon,OP-2186,INSP-20002,2024-06-01 15:34:00,INS-1002,83.7,scratch,1,1,False,"Minor scratch noted, within tolerance levels.",Factory-A2
C3167-20240601,2024-06-01,PRD-03,night,OP-5691,INSP-20003,2024-06-02 00:45:00,INS-1003,67.4,misalignment,3,5,True,Batch failed due to misalignment. Requires rework.,Factory-Z3
D4226-20240601,2024-06-01,PRD-04,morning,OP-0112,INSP-20004,2024-06-01 10:12:00,INS-1004,97.2,NO_DEFECT,0,0,False,No defects found. Batch meets all specifications.,Factory-Y7
E5016-20240602,2024-06-02,PRD-01,afternoon,OP-0033,INSP-20005,2024-06-02 14:19:00,INS-1001,89.1,NO_DEFECT,0,0,False,Batch inspected with no issues detected.,Factory-E1
F6983-20240602,2024-06-02,PRD-02,night,OP-2517,INSP-20006,2024-06-03 01:03:00,INS-1005,49.8,contamination,4,8,True,High contamination detected. Full rework required.,Factory-X0
G8092-20240602,2024-06-02,PRD-03,morning,OP-4178,INSP-20007,2024-06-02 08:55:00,INS-1006,100.0,NO_DEFECT,0,0,False,Perfect batch. No issues found.,Factory-G9
H9021-20240603,2024-06-03,PRD-04,afternoon,OP-0001,INSP-20008,2024-06-03 16:10:00,INS-1002,79.4,marking,2,2,False,Spot marking observed; batch still passes inspection.,Factory-A2
I1023-20240603,2024-06-03,PRD-01,night,OP-5691,INSP-20009,2024-06-04 01:44:00,INS-1007,61.2,cracking,3,4,True,Cracking detected; batch failed and requires rework.,Factory-Z3
J2039-20240603,2024-06-03,PRD-02,morning,OP-1674,INSP-20010,2024-06-03 11:27:00,INS-1004,98.8,NO_DEFECT,0,0,False,Inspection passed with no issues.,Factory-E1
K3047-20240604,2024-06-04,PRD-03,afternoon,OP-0033,INSP-20011,2024-06-04 15:48:00,INS-1002,77.9,dent,1,2,False,"Minor dent observed, within acceptable range.",Factory-Y7
L4092-20240604,2024-06-04,PRD-04,night,OP-4178,INSP-20012,2024-06-05 02:09:00,INS-1008,40.7,mislabel,4,10,True,Mislabel detected; batch failed and requires rework.,Factory-G9
M5001-20240604,2024-06-04,PRD-01,morning,OP-2517,INSP-20013,2024-06-04 08:31:00,INS-1009,92.3,NO_DEFECT,0,0,False,Batch meets all production standards.,Factory-E1
N6017-20240605,2024-06-05,PRD-02,afternoon,OP-0033,INSP-20014,2024-06-05 16:51:00,INS-1003,80.5,discoloration,2,2,False,Minor discoloration within tolerance. Batch passes.,Factory-A2
O7023-20240605,2024-06-05,PRD-03,night,OP-5691,INSP-20015,2024-06-06 00:14:00,INS-1005,65.1,misalignment,3,6,True,Batch failed due to misalignment issues. Rework required.,Factory-Z3
P8039-20240605,2024-06-05,PRD-04,morning,OP-7777,INSP-20016,2024-06-05 09:14:00,INS-1006,99.8,NO_DEFECT,0,0,False,No issues detected during inspection.,Factory-Y7
Q9048-20240606,2024-06-06,PRD-01,afternoon,OP-0112,INSP-20017,2024-06-06 14:55:00,INS-1001,76.3,marking,1,2,False,"Spot marking observed, batch still passes inspection.",Factory-E1
R1002-20240606,2024-06-06,PRD-02,night,OP-2517,INSP-20018,2024-06-07 01:12:00,INS-1002,55.2,contamination,4,7,True,Batch failed due to contamination. Requires full rework.,Factory-X0
S2098-20240606,2024-06-06,PRD-03,morning,OP-4178,INSP-20019,2024-06-06 10:44:00,INS-1004,96.1,NO_DEFECT,0,0,False,Batch inspected. No defects found.,Factory-G9
T3201-20240607,2024-06-07,PRD-04,afternoon,OP-0033,INSP-20020,2024-06-07 16:02:00,INS-1005,72.5,foreign_object,2,2,False,Foreign object detected but within tolerance.,Factory-A2
U4016-20240607,2024-06-07,PRD-01,night,OP-5691,INSP-20021,2024-06-08 00:29:00,INS-1006,8.2,major_crack,4,19,True,Complete failure. Batch must be discarded.,Factory-Z3
V5092-20240607,2024-06-07,PRD-02,morning,OP-0001,INSP-20022,2024-06-07 09:07:00,INS-1007,95.7,NO_DEFECT,0,0,False,Batch meets all specifications. No defects.,Factory-E1
W6091-20240608,2024-06-08,PRD-03,afternoon,OP-0033,INSP-20023,2024-06-08 15:29:00,INS-1008,78.4,dent,1,1,False,"Minor dent detected, batch passes inspection.",Factory-Y7
X7028-20240608,2024-06-08,PRD-04,night,OP-4178,INSP-20024,2024-06-09 02:55:00,INS-1009,41.5,cracking,4,12,True,Cracking detected. Batch failed and requires rework.,Factory-G9
Y8096-20240608,2024-06-08,PRD-01,morning,OP-2517,INSP-20025,2024-06-08 11:46:00,INS-1001,100.0,NO_DEFECT,0,0,False,Batch is flawless. No issues detected.,Factory-E1
Z9042-20240609,2024-06-09,PRD-02,afternoon,OP-0033,INSP-20026,2024-06-09 16:44:00,INS-1002,77.3,scratch,1,1,False,"Minor scratch detected, within tolerance.",Factory-A2
A1029-20240609,2024-06-09,PRD-03,night,OP-5691,INSP-20027,2024-06-10 00:58:00,INS-1003,62.6,cracking,3,5,True,Cracking present. Batch failed and needs rework.,Factory-Z3
B2018-20240609,2024-06-09,PRD-04,morning,OP-0112,INSP-20028,2024-06-09 08:18:00,INS-1004,95.8,NO_DEFECT,0,0,False,Inspection passed; no defects found.,Factory-Y7
C3024-20240610,2024-06-10,PRD-01,afternoon,OP-7777,INSP-20029,2024-06-10 15:41:00,INS-1005,74.2,discoloration,2,2,False,"Minor discoloration detected, batch passes.",Factory-A2
D4041-20240610,2024-06-10,PRD-02,night,OP-2517,INSP-20030,2024-06-11 02:06:00,INS-1006,51.4,contamination,4,9,True,Batch failed due to contamination. Full rework required.,Factory-X0
E5093-20240610,2024-06-10,PRD-03,morning,OP-4178,INSP-20031,2024-06-10 10:56:00,INS-1007,99.6,NO_DEFECT,0,0,False,Batch meets highest quality standards.,Factory-G9
F6017-20240611,2024-06-11,PRD-04,afternoon,OP-0033,INSP-20032,2024-06-11 14:22:00,INS-1002,82.1,scratch,1,1,False,"Minor scratch detected, batch passes.",Factory-A2
G7098-20240611,2024-06-11,PRD-01,night,OP-5691,INSP-20033,2024-06-12 01:21:00,INS-1003,44.9,cracking,4,11,True,Significant cracking detected. Batch failed.,Factory-Z3
H8092-20240611,2024-06-11,PRD-02,morning,OP-0001,INSP-20034,2024-06-11 10:13:00,INS-1004,97.4,NO_DEFECT,0,0,False,Batch passed inspection. No defects found.,Factory-E1
I9027-20240612,2024-06-12,PRD-03,afternoon,OP-7777,INSP-20035,2024-06-12 15:34:00,INS-1005,75.8,foreign_object,2,2,False,"Foreign object detected, batch passes.",Factory-A2
J1003-20240612,2024-06-12,PRD-04,night,OP-2517,INSP-20036,2024-06-13 02:18:00,INS-1006,59.5,mislabel,3,7,True,Mislabeling detected. Batch failed and full rework needed.,Factory-G9
K2019-20240612,2024-06-12,PRD-01,morning,OP-4178,INSP-20037,2024-06-12 09:28:00,INS-1007,100.0,NO_DEFECT,0,0,False,Batch is flawless. No issues found.,Factory-E1
L3098-20240613,2024-06-13,PRD-02,afternoon,OP-0033,INSP-20038,2024-06-13 16:53:00,INS-1002,81.6,scratch,1,1,False,"Minor scratch detected, batch passes.",Factory-A2
M4027-20240613,2024-06-13,PRD-03,night,OP-5691,INSP-20039,2024-06-14 02:28:00,INS-1003,68.2,misalignment,3,6,True,Misalignment detected. Batch failed and requires rework.,Factory-Z3
N5038-20240613,2024-06-13,PRD-04,morning,OP-2517,INSP-20040,2024-06-13 11:10:00,INS-1004,95.9,NO_DEFECT,0,0,False,No defects found. Batch passes inspection.,Factory-Y7
O6017-20240614,2024-06-14,PRD-01,afternoon,OP-0033,INSP-20041,2024-06-14 15:46:00,INS-1005,73.6,discoloration,2,2,False,"Minor discoloration detected, batch passes.",Factory-A2
P7015-20240614,2024-06-14,PRD-02,night,OP-2517,INSP-20042,2024-06-15 01:33:00,INS-1006,49.2,contamination,4,8,True,Batch failed due to contamination. Full rework required.,Factory-X0
Q8082-20240614,2024-06-14,PRD-03,morning,OP-4178,INSP-20043,2024-06-14 11:52:00,INS-1007,98.9,NO_DEFECT,0,0,False,Batch flawless. No issues found.,Factory-G9
R9039-20240615,2024-06-15,PRD-04,afternoon,OP-0033,INSP-20044,2024-06-15 14:21:00,INS-1002,80.6,scratch,1,1,False,"Minor scratch detected, batch passes.",Factory-A2
S1058-20240615,2024-06-15,PRD-01,night,OP-5691,INSP-20045,2024-06-16 00:19:00,INS-1003,10.3,major_crack,4,18,True,Critical major crack detected. Batch discarded.,Factory-Z3
T2064-20240615,2024-06-15,PRD-02,morning,OP-0001,INSP-20046,2024-06-15 09:58:00,INS-1004,96.6,NO_DEFECT,0,0,False,Batch meets all specifications. No defects.,Factory-E1
U3078-20240616,2024-06-16,PRD-03,afternoon,OP-7777,INSP-20047,2024-06-16 16:02:00,INS-1005,77.7,foreign_object,2,2,False,Foreign object found. Batch passes inspection.,Factory-A2
V4089-20240616,2024-06-16,PRD-04,night,OP-2517,INSP-20048,2024-06-17 02:18:00,INS-1006,52.7,mislabel,3,7,True,"Mislabel detected, batch failed and rework needed.",Factory-G9
W5097-20240616,2024-06-16,PRD-01,morning,OP-4178,INSP-20049,2024-06-16 08:26:00,INS-1007,100.0,NO_DEFECT,0,0,False,Batch flawless. No issues detected.,Factory-E1
X6013-20240617,2024-06-17,PRD-02,afternoon,OP-0033,INSP-20050,2024-06-17 16:41:00,INS-1002,79.8,scratch,1,1,False,Minor scratch detected. Batch passes.,Factory-A2
E1023-20240607,2024-06-07,PRD-01,morning,OP-5691,INSP-20001,2024-06-07 08:43:11,INS-7741,99.98,NO_DEFECT,0,0,False,No issues detected in batch. Meets all quality benchmarks.,Factory-E1
A2098-20240606,2024-06-06,PRD-02,afternoon,OP-2186,INSP-20002,2024-06-06 15:02:46,INS-1223,100.0,NO_DEFECT,0,0,False,Batch quality is perfect. No defects found.,Factory-A2
Z4042-20240607,2024-06-07,PRD-03,night,OP-0033,INSP-20003,2024-06-08 00:37:05,INS-9876,98.5,NO_DEFECT,0,0,False,"Exceeded benchmarks, no visible defects.",Factory-Z3
Y7129-20240605,2024-06-05,PRD-04,afternoon,OP-7777,INSP-20004,2024-06-05 15:22:21,INS-7741,99.82,NO_DEFECT,0,0,False,Batch passed all inspection criteria.,Factory-Y7
X0001-20240606,2024-06-06,PRD-01,morning,OP-0112,INSP-20005,2024-06-06 10:54:16,INS-8921,98.75,NO_DEFECT,0,0,False,Batch quality is exceptional.,Factory-X0
G9234-20240606,2024-06-06,PRD-02,night,OP-2517,INSP-20006,2024-06-07 01:13:38,INS-2048,99.5,NO_DEFECT,0,0,False,No defects detected. Excellent output.,Factory-G9
E1785-20240607,2024-06-07,PRD-03,morning,OP-1674,INSP-20007,2024-06-07 09:22:41,INS-5467,100.0,NO_DEFECT,0,0,False,Perfect batch. No issues detected.,Factory-E1
A2921-20240605,2024-06-05,PRD-04,afternoon,OP-0033,INSP-20008,2024-06-05 16:13:19,INS-1223,97.4,NO_DEFECT,0,0,False,Exceeded benchmarks; batch ready for shipment.,Factory-A2
Z4578-20240604,2024-06-04,PRD-01,night,OP-2517,INSP-20009,2024-06-05 00:21:56,INS-7741,100.0,NO_DEFECT,0,0,False,"Batch inspected, results are flawless.",Factory-Z3
Y7453-20240607,2024-06-07,PRD-02,morning,OP-5691,INSP-20010,2024-06-07 08:58:13,INS-2048,99.23,NO_DEFECT,0,0,False,"No issues detected, batch is approved.",Factory-Y7
X0217-20240605,2024-06-05,PRD-03,afternoon,OP-2186,INSP-20011,2024-06-05 15:54:12,INS-5467,84.7,scratch,1,1,False,"Minor scratch noted, within tolerance.",Factory-X0
G9465-20240604,2024-06-04,PRD-04,morning,OP-5691,INSP-20012,2024-06-04 10:15:04,INS-7741,81.2,dent,1,2,False,"Small dent detected, still within acceptable range.",Factory-G9
E1122-20240606,2024-06-06,PRD-01,afternoon,OP-4178,INSP-20013,2024-06-06 15:11:17,INS-8921,76.8,marking,2,2,False,Spot marking observed; batch passes.,Factory-E1
A2045-20240604,2024-06-04,PRD-02,morning,OP-0112,INSP-20014,2024-06-04 11:09:43,INS-2048,82.1,discoloration,1,1,False,"Minor discoloration noted, batch approved.",Factory-A2
Z4781-20240606,2024-06-06,PRD-03,afternoon,OP-2186,INSP-20015,2024-06-06 16:34:20,INS-7741,78.5,foreign_object,2,2,False,"Foreign object found, but batch passes.",Factory-Z3
Y7714-20240607,2024-06-07,PRD-04,morning,OP-0033,INSP-20016,2024-06-07 09:43:29,INS-9876,80.3,marking,2,1,False,"Marking on surface, within tolerance.",Factory-Y7
X0374-20240604,2024-06-04,PRD-01,afternoon,OP-5691,INSP-20017,2024-06-04 15:37:49,INS-1223,79.6,scratch,1,1,False,"Surface scratch noted, batch passes.",Factory-X0
G9761-20240605,2024-06-05,PRD-02,afternoon,OP-7777,INSP-20018,2024-06-05 14:21:37,INS-7741,75.1,discoloration,2,2,False,"Discoloration observed, batch accepted.",Factory-G9
E1302-20240607,2024-06-07,PRD-03,morning,OP-2517,INSP-20019,2024-06-07 11:12:05,INS-5467,61.4,misalignment,3,4,True,Batch failed due to misalignment. Full rework required.,Factory-E1
A2441-20240606,2024-06-06,PRD-04,night,OP-2186,INSP-20020,2024-06-07 02:48:18,INS-2048,67.2,contamination,3,5,True,"Contamination detected, batch failed. Requires rework.",Factory-A2
Z4982-20240605,2024-06-05,PRD-01,afternoon,OP-0112,INSP-20021,2024-06-05 14:23:59,INS-5467,55.9,mislabel,4,7,True,Mislabeling found. Full rework necessary.,Factory-Z3
Y7841-20240604,2024-06-04,PRD-03,night,OP-0033,INSP-20022,2024-06-05 02:22:46,INS-7741,69.3,cracking,3,5,True,"Cracking detected, rework required.",Factory-Y7
X0465-20240607,2024-06-07,PRD-04,night,OP-2517,INSP-20023,2024-06-08 01:16:44,INS-2048,62.5,contamination,3,6,True,"Contamination observed, batch failed. Rework needed.",Factory-X0
G9562-20240606,2024-06-06,PRD-01,afternoon,OP-2186,INSP-20024,2024-06-06 15:18:30,INS-8921,41.8,misalignment,4,9,True,Batch failed due to severe misalignment. Immediate rework required.,Factory-G9
E1435-20240605,2024-06-05,PRD-02,night,OP-1674,INSP-20025,2024-06-06 01:36:59,INS-7741,47.3,cracking,4,8,True,"Cracking detected, batch failed. Rework required.",Factory-E1
A2619-20240607,2024-06-07,PRD-03,afternoon,OP-5691,INSP-20026,2024-06-07 16:58:22,INS-5467,43.2,mislabel,3,10,True,Mislabeling issue. Batch requires full rework.,Factory-A2
Z5129-20240606,2024-06-06,PRD-04,night,OP-0112,INSP-20027,2024-06-07 01:23:41,INS-8921,2.7,major_crack,4,20,True,Complete failure. Batch must be discarded.,Factory-Z3
Y7962-20240604,2024-06-04,PRD-01,night,OP-7777,INSP-20028,2024-06-05 00:06:12,INS-1223,0.0,major_crack,4,19,True,Batch must be discarded due to catastrophic failure.,Factory-Y7
X0598-20240607,2024-06-07,PRD-02,morning,OP-1674,INSP-20029,2024-06-07 10:40:17,INS-7741,3.1,cracking,4,18,True,Complete failure. Cracking is extensive.,Factory-X0
G9637-20240606,2024-06-06,PRD-03,afternoon,OP-0033,INSP-20030,2024-06-06 14:44:56,INS-5467,4.9,major_crack,4,16,True,Batch failed due to major crack. Discard recommended.,Factory-G9
E1583-20240605,2024-06-05,PRD-04,morning,OP-5691,INSP-20031,2024-06-05 09:32:28,INS-7741,7.2,major_crack,4,17,True,Major crack detected. Batch is a total loss.,Factory-E1
A2784-20240607,2024-06-07,PRD-01,night,OP-2517,INSP-20032,2024-06-08 00:29:44,INS-5467,8.6,cracking,4,15,True,Severe cracking found. Batch failed.,Factory-A2
Z5263-20240606,2024-06-06,PRD-02,morning,OP-0033,INSP-20033,2024-06-06 11:45:53,INS-1223,92.4,NO_DEFECT,0,0,False,"Batch inspected, results are excellent.",Factory-Z3
Y8019-20240604,2024-06-04,PRD-03,morning,OP-0112,INSP-20034,2024-06-04 08:21:19,INS-9876,88.7,NO_DEFECT,0,0,False,Batch meets all quality standards.,Factory-Y7
X0772-20240607,2024-06-07,PRD-04,afternoon,OP-1674,INSP-20035,2024-06-07 15:09:36,INS-8921,93.1,NO_DEFECT,0,0,False,"Batch inspected, perfect results.",Factory-X0
G9781-20240606,2024-06-06,PRD-01,morning,OP-5691,INSP-20036,2024-06-06 08:56:41,INS-7741,85.3,NO_DEFECT,0,0,False,No issues detected.,Factory-G9
E1697-20240605,2024-06-05,PRD-02,afternoon,OP-4178,INSP-20037,2024-06-05 14:08:27,INS-1223,87.8,NO_DEFECT,0,0,False,Batch passed; quality metrics high.,Factory-E1
A3074-20240607,2024-06-07,PRD-03,morning,OP-0033,INSP-20038,2024-06-07 09:55:11,INS-5467,90.9,NO_DEFECT,0,0,False,Inspection complete; no defects.,Factory-A2
Z5471-20240606,2024-06-06,PRD-04,afternoon,OP-2186,INSP-20039,2024-06-06 16:25:32,INS-9876,95.8,NO_DEFECT,0,0,False,Excellent batch; ready for shipment.,Factory-Z3
Y8237-20240604,2024-06-04,PRD-01,morning,OP-0112,INSP-20040,2024-06-04 08:12:55,INS-8921,86.2,NO_DEFECT,0,0,False,Batch meets all specifications.,Factory-Y7
X0961-20240605,2024-06-05,PRD-02,afternoon,OP-4178,INSP-20041,2024-06-05 15:05:16,INS-7741,89.4,NO_DEFECT,0,0,False,All inspection criteria met.,Factory-X0
G9833-20240607,2024-06-07,PRD-03,morning,OP-5691,INSP-20042,2024-06-07 10:16:29,INS-5467,88.2,NO_DEFECT,0,0,False,No defects detected.,Factory-G9
E1804-20240606,2024-06-06,PRD-04,afternoon,OP-2517,INSP-20043,2024-06-06 15:14:57,INS-7741,91.7,NO_DEFECT,0,0,False,"Batch inspected, no issues.",Factory-E1
A3265-20240604,2024-06-04,PRD-01,afternoon,OP-0033,INSP-20044,2024-06-04 14:51:14,INS-1223,86.9,NO_DEFECT,0,0,False,Batch meets all standards.,Factory-A2
Z5651-20240607,2024-06-07,PRD-02,morning,OP-5691,INSP-20045,2024-06-07 09:59:46,INS-8921,87.3,NO_DEFECT,0,0,False,No defects detected.,Factory-Z3
